symbol,name,sector,segment
MMM,3M,Industrials,large
AOS,A. O. Smith,Industrials,large
ABT,Abbott Laboratories,Health Care,large
ABBV,AbbVie,Health Care,large
ACN,Accenture,Information Technology,large
ADBE,Adobe Inc.,Information Technology,large
AMD,Advanced Micro Devices,Information Technology,large
AES,AES Corporation,Utilities,large
AFL,Aflac,Financials,large
A,Agilent Technologies,Health Care,large
APD,Air Products,Materials,large
ABNB,Airbnb,Consumer Discretionary,large
AKAM,Akamai Technologies,Information Technology,large
ALB,Albemarle Corporation,Materials,large
ARE,Alexandria Real Estate Equities,Real Estate,large
ALGN,Align Technology,Health Care,large
ALLE,Allegion,Industrials,large
LNT,Alliant Energy,Utilities,large
ALL,Allstate,Financials,large
GOOGL,Alphabet Inc. (Class A),Communication Services,large
GOOG,Alphabet Inc. (Class C),Communication Services,large
MO,Altria,Consumer Staples,large
AMZN,Amazon,Consumer Discretionary,large
AMCR,Amcor,Materials,large
AEE,Ameren,Utilities,large
AEP,American Electric Power,Utilities,large
AXP,American Express,Financials,large
AIG,American International Group,Financials,large
AMT,American Tower,Real Estate,large
AWK,American Water Works,Utilities,large
AMP,Ameriprise Financial,Financials,large
AME,Ametek,Industrials,large
AMGN,Amgen,Health Care,large
APH,Amphenol,Information Technology,large
ADI,Analog Devices,Information Technology,large
AON,Aon plc,Financials,large
APA,APA Corporation,Energy,large
APO,Apollo Global Management,Financials,large
AAPL,Apple Inc.,Information Technology,large
AMAT,Applied Materials,Information Technology,large
APP,AppLovin,Communication Services,large
APTV,Aptiv,Consumer Discretionary,large
ACGL,Arch Capital Group,Financials,large
ADM,Archer Daniels Midland,Consumer Staples,large
ARES,Ares Management,Financials,large
ANET,Arista Networks,Information Technology,large
AJG,Arthur J. Gallagher & Co.,Financials,large
AIZ,Assurant,Financials,large
T,AT&T,Communication Services,large
ATO,Atmos Energy,Utilities,large
ADSK,Autodesk,Information Technology,large
ADP,Automatic Data Processing,Industrials,large
AZO,AutoZone,Consumer Discretionary,large
AVB,AvalonBay Communities,Real Estate,large
AVY,Avery Dennison,Materials,large
AXON,Axon Enterprise,Industrials,large
BKR,Baker Hughes,Energy,large
BALL,Ball Corporation,Materials,large
BAC,Bank of America,Financials,large
BAX,Baxter International,Health Care,large
BDX,Becton Dickinson,Health Care,large
BRK.B,Berkshire Hathaway,Financials,large
BBY,Best Buy,Consumer Discretionary,large
TECH,Bio-Techne,Health Care,large
BIIB,Biogen,Health Care,large
BLK,BlackRock,Financials,large
BX,Blackstone Inc.,Financials,large
XYZ,"Block, Inc.",Financials,large
BNY,BNY Mellon,Financials,large
BA,Boeing,Industrials,large
BKNG,Booking Holdings,Consumer Discretionary,large
BSX,Boston Scientific,Health Care,large
BMY,Bristol Myers Squibb,Health Care,large
AVGO,Broadcom,Information Technology,large
BR,Broadridge Financial Solutions,Industrials,large
BRO,Brown & Brown,Financials,large
BF.B,Brown–Forman,Consumer Staples,large
BLDR,Builders FirstSource,Industrials,large
BG,Bunge Global,Consumer Staples,large
BXP,"BXP, Inc.",Real Estate,large
CHRW,C.H. Robinson,Industrials,large
CDNS,Cadence Design Systems,Information Technology,large
CPT,Camden Property Trust,Real Estate,large
COF,Capital One,Financials,large
CAH,Cardinal Health,Health Care,large
CCL,Carnival Corporation,Consumer Discretionary,large
CARR,Carrier Global,Industrials,large
CVNA,Carvana,Consumer Discretionary,large
CASY,Casey's,Consumer Staples,large
CAT,Caterpillar Inc.,Industrials,large
CBOE,Cboe Global Markets,Financials,large
CBRE,CBRE Group,Real Estate,large
CDW,CDW Corporation,Information Technology,large
COR,Cencora,Health Care,large
CNC,Centene Corporation,Health Care,large
CNP,CenterPoint Energy,Utilities,large
CF,CF Industries,Materials,large
CRL,Charles River Laboratories,Health Care,large
SCHW,Charles Schwab Corporation,Financials,large
CHTR,Charter Communications,Communication Services,large
CVX,Chevron Corporation,Energy,large
CMG,Chipotle Mexican Grill,Consumer Discretionary,large
CB,Chubb Limited,Financials,large
CHD,Church & Dwight,Consumer Staples,large
CIEN,Ciena,Information Technology,large
CI,Cigna,Health Care,large
CINF,Cincinnati Financial,Financials,large
CTAS,Cintas,Industrials,large
CSCO,Cisco,Information Technology,large
C,Citigroup,Financials,large
CFG,Citizens Financial Group,Financials,large
CLX,Clorox,Consumer Staples,large
CME,CME Group,Financials,large
CMS,CMS Energy,Utilities,large
KO,Coca-Cola Company (The),Consumer Staples,large
CTSH,Cognizant,Information Technology,large
COHR,Coherent Corp.,Information Technology,large
COIN,Coinbase,Financials,large
CL,Colgate-Palmolive,Consumer Staples,large
CMCSA,Comcast,Communication Services,large
FIX,Comfort Systems USA,Industrials,large
COP,ConocoPhillips,Energy,large
ED,Consolidated Edison,Utilities,large
STZ,Constellation Brands,Consumer Staples,large
CEG,Constellation Energy,Utilities,large
COO,Cooper Companies (The),Health Care,large
CPRT,Copart,Industrials,large
GLW,Corning Inc.,Information Technology,large
CPAY,Corpay,Financials,large
CTVA,Corteva,Materials,large
CSGP,CoStar Group,Real Estate,large
COST,Costco,Consumer Staples,large
CRH,CRH plc,Materials,large
CRWD,CrowdStrike,Information Technology,large
CCI,Crown Castle,Real Estate,large
CSX,CSX Corporation,Industrials,large
CMI,Cummins,Industrials,large
CVS,CVS Health,Health Care,large
DHR,Danaher Corporation,Health Care,large
DRI,Darden Restaurants,Consumer Discretionary,large
DDOG,Datadog,Information Technology,large
DVA,DaVita,Health Care,large
DECK,Deckers Brands,Consumer Discretionary,large
DE,Deere & Company,Industrials,large
DELL,Dell Technologies,Information Technology,large
DAL,Delta Air Lines,Industrials,large
DVN,Devon Energy,Energy,large
DXCM,Dexcom,Health Care,large
FANG,Diamondback Energy,Energy,large
DLR,Digital Realty,Real Estate,large
DG,Dollar General,Consumer Staples,large
DLTR,Dollar Tree,Consumer Staples,large
D,Dominion Energy,Utilities,large
DPZ,Domino's,Consumer Discretionary,large
DASH,DoorDash,Consumer Discretionary,large
DOV,Dover Corporation,Industrials,large
DOW,Dow Inc.,Materials,large
DHI,D. R. Horton,Consumer Discretionary,large
DTE,DTE Energy,Utilities,large
DUK,Duke Energy,Utilities,large
DD,DuPont,Industrials,large
ETN,Eaton Corporation,Industrials,large
EBAY,eBay Inc.,Consumer Discretionary,large
ECHO,EchoStar,Communication Services,large
ECL,Ecolab,Materials,large
EIX,Edison International,Utilities,large
EW,Edwards Lifesciences,Health Care,large
ELV,Elevance Health,Health Care,large
EME,Emcor,Industrials,large
EMR,Emerson Electric,Industrials,large
ETR,Entergy,Utilities,large
EOG,EOG Resources,Energy,large
EQT,EQT Corporation,Energy,large
EFX,Equifax,Industrials,large
EQIX,Equinix,Real Estate,large
EQR,Equity Residential,Real Estate,large
ERIE,Erie Indemnity,Financials,large
ESS,Essex Property Trust,Real Estate,large
EL,Estée Lauder Companies (The),Consumer Staples,large
EG,Everest Group,Financials,large
EVRG,Evergy,Utilities,large
ES,Eversource Energy,Utilities,large
EXC,Exelon,Utilities,large
EXE,Expand Energy,Energy,large
EXPE,Expedia Group,Consumer Discretionary,large
EXPD,Expeditors International,Industrials,large
EXR,Extra Space Storage,Real Estate,large
XOM,ExxonMobil,Energy,large
FFIV,"F5, Inc.",Information Technology,large
FDS,FactSet,Financials,large
FICO,Fair Isaac,Information Technology,large
FAST,Fastenal,Industrials,large
FRT,Federal Realty Investment Trust,Real Estate,large
FDX,FedEx,Industrials,large
FDXF,FedEx Freight,Industrials,large
FERG,Ferguson Enterprises,Industrials,large
FIS,Fidelity National Information Services,Financials,large
FITB,Fifth Third Bancorp,Financials,large
FSLR,First Solar,Information Technology,large
FE,FirstEnergy,Utilities,large
FISV,Fiserv,Financials,large
FLEX,Flex Ltd.,Information Technology,large
F,Ford Motor Company,Consumer Discretionary,large
FTNT,Fortinet,Information Technology,large
FTV,Fortive,Industrials,large
FOXA,Fox Corporation (Class A),Communication Services,large
FOX,Fox Corporation (Class B),Communication Services,large
BEN,Franklin Resources,Financials,large
FCX,Freeport-McMoRan,Materials,large
GRMN,Garmin,Consumer Discretionary,large
IT,Gartner,Information Technology,large
GE,GE Aerospace,Industrials,large
GEHC,GE HealthCare,Health Care,large
GEV,GE Vernova,Industrials,large
GEN,Gen Digital,Information Technology,large
GNRC,Generac,Industrials,large
GD,General Dynamics,Industrials,large
GIS,General Mills,Consumer Staples,large
GM,General Motors,Consumer Discretionary,large
GPC,Genuine Parts Company,Consumer Discretionary,large
GILD,Gilead Sciences,Health Care,large
GPN,Global Payments,Financials,large
GL,Globe Life,Financials,large
GDDY,GoDaddy,Information Technology,large
GS,Goldman Sachs,Financials,large
HAL,Halliburton,Energy,large
HIG,Hartford (The),Financials,large
HAS,Hasbro,Consumer Discretionary,large
HCA,HCA Healthcare,Health Care,large
DOC,Healthpeak Properties,Real Estate,large
HSIC,Henry Schein,Health Care,large
HSY,Hershey Company (The),Consumer Staples,large
HPE,Hewlett Packard Enterprise,Information Technology,large
HLT,Hilton Worldwide,Consumer Discretionary,large
HD,Home Depot (The),Consumer Discretionary,large
HONA,Honeywell Aerospace,Industrials,large
HON,Honeywell Technologies,Industrials,large
HRL,Hormel Foods,Consumer Staples,large
HST,Host Hotels & Resorts,Real Estate,large
HWM,Howmet Aerospace,Industrials,large
HPQ,HP Inc.,Information Technology,large
HUBB,Hubbell Incorporated,Industrials,large
HUM,Humana,Health Care,large
HBAN,Huntington Bancshares,Financials,large
HII,Huntington Ingalls Industries,Industrials,large
IBM,IBM,Information Technology,large
IEX,IDEX Corporation,Industrials,large
IDXX,Idexx Laboratories,Health Care,large
ITW,Illinois Tool Works,Industrials,large
INCY,Incyte,Health Care,large
IR,Ingersoll Rand,Industrials,large
PODD,Insulet Corporation,Health Care,large
INTC,Intel,Information Technology,large
IBKR,Interactive Brokers,Financials,large
ICE,Intercontinental Exchange,Financials,large
IFF,International Flavors & Fragrances,Materials,large
